product_id,product_name,product_description,quantity
P0001,Floral Lace Ruffle Dress,"Easy flowing silk like dress covering knees. Comes in 2 colors, light green and light blue, pink flowers.",5
P0002,Max Jeans Women Green Casual Dress,"Jeans-like dress, above knees, forest green, silver buttons. Come in green, black, and white colors.",8
P0003,White Carolina Blue Shirt,"Short shirt in blue and white colors, with a flower and parrot on the left side.",6
P0004,Lola High Slit Satin Dress,"White dress, above knees, tiny/narrow cloth belt.",4
P0005,Crepe Slim Pant Suit,"Bright dark pink suit, pants and jacket.",3
P0006,Piper Softshell Show Coat,Foresty green long jacket with big golden shiny buttons.,4
P0007,Swiss Dot Flowy Short Dress,"Flowy short dress with black, yellow, pink, grey dots. Above knees. ",3
P0008,Twirl Around Ponte Skater Dress in Mint,"Mint color cotton dress, above knees.",6
P0009,Sandy D-Ring Roll Sleeve,"Sand color blouse with long sleeves, curly sleeve endings. ",6
P0010,Map Graphic Fleece Hoodie,"White and black hoodies with world maps on them saying ""Anywhere, somewhere, far away"". ",5
P0011,Printed Tiered Handkerchief-Hem Dress,"Light long flowy/silk like dress, with cut front. Red berries all over.",2
P0012,Petite Soft Satin Midi Dress,Short cotton pink dress.,4
P0013,High-Rise Skinny Soft Sculpt Jean,High waist black jeans with 5 buttons in front.,4
P0014,Denim Midi Skirt,"High waist jeans skirt, blue.",3
P0015,Checkered Contrast Button Jacket,Checkered jacket with 3 big brown buttons.,3
P0016,Leather Driving Loafer With Fur,Leather black shoes with brown fur in front.,4
P0017,Leather Low Top,White leather shoes with laces.,4
P0018,Disruptor II Premium Casual Athletic Sneakers,White athletic shoes with thick rubber base and laces.,4
P0019,Milano Twill Checkered Blazer,"Pink checkered suit, pants, and a jacket with 4 buttons.",6
P0020,Cutaway Checkered Dickey Jacket,"Black and white checkered jacket, relatively long.",2
P0021,Lettuce Trim Rib-knit Tie Dye Top,"Brown, blue, and white top with a denim texture.",14
P0022,Binding Tie Dye Shorts,"Short, tie dye style athletic shorts with a black trim.",2
P0023,Tie Shoulder Ruched Dot Print Dress,"Black dress, knee-length with white polka dots.",5
P0024,Leopard One Shoulder Crop Top,Leopard print crop-top with one strap on the left side.,5
P0025,Corduroy Button Front Flared Skirt,"A corduroy skirt featuring a high rise, button-front closures, and front flap pockets.",1
P0026,Knot Strap Plaid Dress,Casual pastel baby blue short dress with a spaghetti strap.,20
P0027,Kira Quilted Flat Slide Sandals,"Slip-on, open toe vacation sandals with leather insole and outsole.",2
P0028,Split Hem Zebra Striped Pants,"Black and white zebra-style flaire legged pants, high-waisted.",1
P0029,Knot Detail Solid Sweatpants,"Cargo style long pants with pockets, plain black color.",6
P0030,Button Front Fold Pleated Detail Plaid Dress,Elegant grey dress with a plaid pattern.,4
P0031,High Waist Cord Cropped Pants,White couroroy pants with a zipper fly and pockets for the fall/winter season.,3
P0032,Knot Waist Slant Pocket Solid Joggers,"Plain black joggers with high waist and pockets, regular fit with a knot to fasten.",3
P0033,Ruffle Trim Wrap Tie Side Floral Slip Dress,"Boho style dress with ditsy floral pattern, belted in the middle with ruffles. Available in blue, red, and yellow.",12
P0034,V Neck Lettuce Trim Crop Tee,Simple white v-neck style croptop with a slight stretchiness in the fabric.,7
P0035,Mock Neck Contrast Mesh Colorblock Tee,Black and white long-sleeve shirt with a turtleneck-style collar.,2
P0036,Diamond Patch Espadrille Wedge,Light brown 90 mm wedge with a low heel and gold buckle at the ankles.,10
P0037,Button Plaid Tweed Overall Dress,"Checkered dress with buttons going down the left side strap and dress. Sleeveless, preppy style. ",5
P0038,Los Angeles Graphic Oversized Tee,"White, baggy tee with a black, arching ""Los Angeles"" logo and ""California"" beneath.",8
P0039,Keyhole Neck Striped Tunic Dress,"Simple v-neck dress with pink, green, and black vertical stripes.",7
P0040,Crisscross Banded High-Rise Leggings,High-waisted black athletic leggings with no pattern and a criss-cross fasten at the waist.,16
P0041,Slit Hem Rib-knit Pencil Skirt,"Plain grey rib-knit pencil skirt, comfortable and casual with a slight stretch.",7
P0042,Drop Shoulder Tartan Blouse,"Preppy, multicolor blouse with a drop-shoulder sleeve, placket style.",22
P0043,Wide Waistband Metallic Skinny Pants,"Glossy, high-waisted pants with a skinny fit in chocolate brown.",5
P0044,Double T Shearling Slide,Ultra comfortable minitare slides made with real sheep fur.,6
P0045,Tie Front Frill Trim Dress,Elegant white frilly dress with a tie in the front.,9
P0046,Gigot Sleeve Ruched Detail Mesh Overlay Dress,"Glamorous plain white long-sleeve dress, square neck.",4
P0047,Drawstring Waist Solid Sweatpants,"Apricot color, regular fit sweatpants, non-stretchy.",2
P0048,Zipper Fly Fold Pleated Palazzo Pants,Loose coral pink pants with a wide leg style and zipper at the high waist.,1
P0049,Trim Cow Print Crop Cami Top,"Casual crop top with spaghetti strap, summer style with black and white spots.",1
P0050,Classic Court Tennis Shoes,Classic lace-up style sneaker with woven color-blocking detail including a well bedded footbed.,7